# SANKOFA NETFLOW EXCERPT - 2024-06-04 02:00 to 03:30 UTC
# Tunde: "Use this to confirm timing and volume. Some rows are normal background traffic and a few are unrelated lateral flows."
flow_start_utc,src_ip,src_port,dst_ip,dst_port,protocol,bytes_sent,bytes_received,flags
2024-06-04T02:00:11Z,10.0.1.87,42310,10.0.0.53,53,UDP,76,132,OK
2024-06-04T02:01:04Z,10.0.1.87,42988,91.189.91.157,123,UDP,48,48,OK
2024-06-04T02:03:22Z,10.0.2.14,51244,10.0.3.20,445,TCP,2380,9140,PA
2024-06-04T02:07:55Z,185.220.101.9,51432,10.0.1.87,22,TCP,1840,2210,SA
2024-06-04T02:08:04Z,185.220.101.9,51432,10.0.1.87,22,TCP,4220,3910,PA
2024-06-04T02:10:33Z,10.0.1.87,44012,10.0.0.53,53,UDP,82,150,OK
2024-06-04T02:14:59Z,10.0.1.87,45888,185.220.101.9,443,TCP,612,980,PA
2024-06-04T02:15:04Z,10.0.1.87,45890,185.220.101.9,443,TCP,594,948,PA
2024-06-04T02:16:40Z,10.0.1.42,50102,10.0.3.15,3389,TCP,18220,44800,PA
2024-06-04T02:18:03Z,10.0.1.87,45910,185.220.101.9,443,TCP,606,972,PA
2024-06-04T02:20:00Z,10.0.1.87,51231,10.0.0.53,53,UDP,74,128,OK
2024-06-04T02:21:44Z,10.0.1.87,45934,185.220.101.9,443,TCP,598,966,PA
2024-06-04T02:24:02Z,10.0.1.87,45960,185.220.101.9,443,TCP,622,1004,PA
2024-06-04T02:27:30Z,10.0.4.8,39014,10.0.3.22,5432,TCP,8040,16640,PA
2024-06-04T02:30:11Z,10.0.1.87,46220,10.0.0.53,53,UDP,88,160,OK
2024-06-04T02:31:58Z,10.0.1.87,45992,185.220.101.9,443,TCP,640,1000,PA
2024-06-04T02:36:00Z,10.0.1.87,43002,91.189.91.157,123,UDP,48,48,OK
2024-06-04T02:42:15Z,10.0.1.87,46044,185.220.101.9,443,TCP,590,950,PA
2024-06-04T02:48:02Z,10.0.2.19,55402,10.0.3.30,22,TCP,1110,2040,PA
2024-06-04T02:51:07Z,10.0.1.87,46100,185.220.101.9,443,TCP,608,978,PA
2024-06-04T03:00:03Z,10.0.1.87,52490,10.0.0.53,53,UDP,80,144,OK
2024-06-04T03:01:18Z,10.0.1.87,52118,185.220.101.9,22,TCP,31244,1420,PA
2024-06-04T03:05:30Z,10.0.1.87,52118,185.220.101.9,22,TCP,280,620,FA
2024-06-04T03:14:59Z,10.0.1.87,46244,185.220.101.9,443,TCP,604,970,PA
2024-06-04T03:29:41Z,10.0.1.87,43020,91.189.91.157,123,UDP,48,48,OK
