row,attack_tactic,technique_id,technique_name,assigned_atomic_guid,test_host,expected_source_events,custom_rule_ids,benign_control,attack_result,benign_result,cleanup_result,raw_artifact
1,Execution,T1059.001,PowerShell,,,,,,,,,
2,Persistence,T1053.005,Scheduled Task or Job: Scheduled Task,,,,,,,,,
3,Persistence,T1547.001,Registry Run Keys or Startup Folder,,,,,,,,,
4,Credential Access,T1003.001,OS Credential Dumping: LSASS Memory,,,,,,,,,
5,Discovery,T1087.001,Account Discovery: Local Account,,,,,,,,,
6,Discovery,T1057,Process Discovery,,,,,,,,,
7,Command and Control,T1105,Ingress Tool Transfer,,,,,,,,,
8,Defense Evasion,T1218.011,System Binary Proxy Execution: Rundll32,,,,,,,,,
9,Execution,T1059.003,Windows Command Shell,,,,,,,,,
10,Persistence,T1136.001,Create Account: Local Account,,,,,,,,,
11,Credential Access,T1555,Credentials from Password Stores,,,,,,,,,
12,Defense Evasion,T1027,Obfuscated Files or Information,,,,,,,,,
